F (vij);prediction_trainig;F_ref;nirK2;ppx;ppk;nirS1;nirS3;nifH;pqqC;phoX;mmoX;naglu;nirK3;sga
1;training;0.5;-0.048595516;-0.229119051;-0.000117155;-0.048931258;-0.03813152;0;-0.001504984;-0.000412849;-0.071071643;-0.192947756;-0.03813588;-0.011709906
1;prediction;0.75;-0.154100535;0.018593271;-1.14E-05;0.27384017;-0.034028531;1.31E-06;3.51E-09;0.26252276;0.08073809;0.144832247;4.28E-06;-8.48E-05
1;training;0.5;-0.225097992;0.07226982;1.86E-05;-0.339062992;0.007742113;-0.038634093;2.41E-10;-0.007020337;0.024309487;0.268291598;-0.007827852;1.65E-05
1;training;0.75;-0.015443837;-0.049494075;-2.65E-05;0.120449358;0.006820039;2.82E-05;2.35E-11;-0.000954906;0.003087715;-0.191867667;4.24E-05;-1.51E-07
1;training;0.5;-0.122892312;-0.107183476;-0.000168802;-0.011817722;-0.018892344;-0.18373329;3.03E-13;-0.001637553;-0.065066857;-0.081238149;-0.012836229;-0.001121617
1;prediction;0.25;0.001089141;-0.176292749;-0.000550428;-0.050657558;-0.065566652;-0.047196911;-1.66E-05;0.002724356;-0.005913779;-0.085394588;-0.000162901;-3.02E-07
0;training;0.75;-0.024523161;0.048890068;-0.000218527;-0.027417539;0.004667594;0;4.11E-09;-0.002561585;-0.009042255;0.103629547;0.0001088;3.94E-05
0;training;0.25;-0.010112504;0.214592907;-8.31E-05;0.013324383;0.012059254;0.036745306;0.000372148;-0.006594953;0.023928954;0.221740549;0.002187737;0.004529027
0;training;0.25;-0.169591458;-0.04780561;0.167261535;0.020681825;-0.019208201;0.017183311;4.60E-08;-0.002764571;-0.010623613;-0.057094622;6.04E-05;-1.91E-06
1;prediction;0.5;0.217870431;0.048422919;-5.69E-05;-0.064297864;-0.007242445;-0.017547923;4.18E-07;0.003488621;0.005982513;0.106386295;0.000500102;0.03713095
1;training;0.75;0.246785823;0.141393631;-0.00047696;0.116049117;0.02193467;-2.22E-05;3.44E-05;0.022010857;0.006610307;0.295328934;0.000441449;0.001779006
1;training;0.5;0.186519564;0.082497317;0.000218968;-0.004285692;0.023249706;-0.050932658;0.000147661;0.009033789;0.001538885;0.019187432;-0.00385805;-6.07E-06
1;training;0.5;-0.072085729;0.098156153;0.000327369;0.054495379;0.01177674;-0.042038698;1.92E-08;0.009051133;0.026758297;-0.15306507;0.002429032;0.001430405
1;prediction;0.75;-0.202969913;0.082512577;-0.000556339;-0.045202264;-0.019960482;0.016548128;1.79E-10;-0.003300772;0.032499355;0.085571127;-0.000539626;8.19E-07
1;training;0.5;-0.022425875;0.126106626;-3.52E-05;-0.003823332;0.02601481;0.099045987;0.274135187;0.001795611;0.007224119;0.046631846;0.041641325;0.196869401
1;training;0.25;0.244788745;0.036786806;-0.001000412;-0.003120058;-0.030529342;-1.36E-06;-4.09E-08;-0.000538224;-0.028293568;-0.152630045;-0.027212232;3.00E-05
1;training;0.75;0.085601197;0.001852546;-9.34E-05;-0.019414425;-0.015056858;-0.002042504;1.22E-09;0.012739267;0.004338024;0.08337684;7.46E-06;0.001011223
1;prediction;0.75;0.004148687;-0.168378525;6.79E-05;-0.008500371;-0.008274195;-0.096537388;-1.07E-13;0.002039634;0.007638299;-0.151584533;-0.154291091;-0.002632403
1;training;0.75;0.075670864;0.002822789;-5.69E-05;0.023038544;0.008636795;8.14E-06;-1.22E-09;-0.003914655;-0.036936568;0.017861589;3.41E-05;6.68E-05
1;training;0.75;-0.10267278;-0.032918452;-0.00034525;-0.033748093;-0.044646055;-2.82E-05;-2.34E-11;0.001131182;0.005414249;-0.010189238;-3.71E-05;4.17E-05
1;training;0.75;-0.002984563;-0.000957106;0.000166364;-0.117492203;0.001435725;-5.10E-05;0;-0.192593773;0.0237299;-0.00767127;-0.002002078;4.41E-05
0;prediction;0.5;0.010664415;-0.052694825;0.000221503;-0.004603488;0.002189269;-1.64E-08;0;0.002993978;0.011033222;-0.214298707;-0.004199596;0.00015952
1;training;0.5;-0.069458402;0.056917476;0.000293852;0.00911417;-0.007797397;1.93E-07;-3.22E-15;-0.001531337;-0.00560005;0.183549228;4.65E-05;4.08E-07
1;training;0.25;0.009656935;0.106776027;-1.56E-05;0.120945362;0.004269749;0;-1.23E-13;0.002833601;0.015890423;0.131214041;0.002796514;0.013094755
0;training;0.25;0.170932825;-0.091463507;0.000176362;0.221445484;-0.011464859;3.93E-06;0;0.079261107;0.012073507;0.018554043;9.53E-09;3.55E-09
1;prediction;0.75;-0.184831178;-0.126781769;0.000104983;-0.020604122;0.014544729;-0.092112456;0;-0.137990363;-0.012958715;-0.098657066;-0.025002699;-3.25E-06
1;training;0.25;0.026602098;-0.205402815;-3.89E-05;-0.041039313;-0.014339499;-0.036614202;-0.000371811;0.011165488;-0.023629206;-0.144717694;-0.002184971;-0.004528911
0;training;0.25;0.166891117;0.040468204;-0.000140039;-0.04835146;-0.002892949;-1.14E-06;-4.06E-08;5.50E-05;-0.030118852;-0.121565492;-0.028093633;-6.93E-06
0;training;0.5;-0.152008105;0.053438578;-0.000100282;-0.150176244;-0.000285675;-0.038634093;2.00E-15;-0.013558403;-0.026617995;0.014075989;-0.007827817;-4.57E-08
1;prediction;0.75;-0.090547315;0.068831701;0.000335011;0.307804128;0.010280989;1.08E-08;0;0.267369034;0.096820576;0.118736418;0.00075514;0.000196112
